slug,month,avg_high_f,avg_low_f,wet_days,source
angels-landing-zion-ut,1,42,23,7,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,2,46,24,6,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,3,54,30,8,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,4,66,38,4,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,5,74,47,4,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,6,88,59,0,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,7,92,65,4,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,8,89,62,5,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,9,82,55,3,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,10,69,44,3,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,11,55,32,4,"Open-Meteo ERA5 historical, 2015-2024"
angels-landing-zion-ut,12,44,24,6,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,1,30,18,8,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,2,30,17,7,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,3,33,18,9,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,4,41,24,4,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,5,49,31,9,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,6,63,44,6,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,7,69,51,8,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,8,68,50,6,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,9,62,44,3,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,10,52,36,3,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,11,40,26,4,"Open-Meteo ERA5 historical, 2015-2024"
bishop-pass-long-lake-ca,12,32,19,8,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,1,61,44,5,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,2,67,47,3,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,3,74,53,4,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,4,85,62,2,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,5,92,69,1,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,6,105,81,0,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,7,109,87,2,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,8,106,85,3,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,9,99,77,2,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,10,86,64,2,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,11,71,51,1,"Open-Meteo ERA5 historical, 2015-2024"
black-canyon-water-trail-nv,12,61,43,2,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,1,38,21,7,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,2,44,24,5,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,3,51,29,7,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,4,63,37,4,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,5,70,44,4,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,6,84,56,2,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,7,86,61,6,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,8,83,59,7,"Open-Meteo ERA5 historical, 2015-2024"
bright-angel-trail-gc-az,9,78,53,4,"Open-Meteo ERA5 historical, 2015-2024"
